Date,^NSEI,^BSESN,BSE-100.BO
2012-12-21,5847.7001953125,19242.0,5908.41015625
2012-12-24,5855.75,19255.08984375,5915.39013671875
2012-12-26,5905.60009765625,19417.4609375,5963.830078125
2012-12-27,5870.10009765625,19323.80078125,5938.08984375
2012-12-28,5908.35009765625,19444.83984375,5972.89013671875
2012-12-31,5905.10009765625,19426.7109375,5975.740234375
2013-01-02,5993.25,19714.240234375,6072.93994140625
2013-01-03,6009.5,19764.779296875,6089.22021484375
2013-01-04,6016.14990234375,19784.080078125,6095.14990234375
2013-01-07,5988.39990234375,19691.419921875,6075.14990234375
2013-01-08,6001.7001953125,19742.51953125,6084.27978515625
2013-01-09,5971.5,19666.58984375,6060.08984375
2013-01-10,5968.64990234375,19663.55078125,6054.240234375
2013-01-11,5951.2998046875,19663.640625,6027.89990234375
2013-01-14,6024.0498046875,19906.41015625,6105.259765625
2013-01-15,6056.60009765625,19986.8203125,6132.58984375
2013-01-16,6001.85009765625,19817.630859375,6072.97998046875
2013-01-17,6039.2001953125,19964.029296875,6113.60986328125
2013-01-18,6064.39990234375,20039.0390625,6131.39013671875
2013-01-21,6082.2998046875,20101.8203125,6150.7900390625
2013-01-22,6048.5,19981.5703125,6108.990234375
2013-01-23,6054.2998046875,20026.609375,6106.08984375
2013-01-24,6019.35009765625,19923.779296875,6054.009765625
2013-01-25,6074.64990234375,20103.529296875,6121.08984375
2013-01-28,6074.7998046875,20103.349609375,6124.919921875
2013-01-29,6049.89990234375,19990.900390625,6093.7998046875
2013-01-30,6055.75,20005.0,6099.75
2013-01-31,6034.75,19894.98046875,6091.490234375
2013-02-01,5998.89990234375,19781.189453125,6064.75
2013-02-04,5987.25,19751.189453125,6039.25
2013-02-05,5956.89990234375,19659.8203125,6012.91015625
2013-02-06,5959.2001953125,19639.720703125,6018.85986328125
2013-02-07,5938.7998046875,19580.3203125,5992.97021484375
2013-02-08,5903.5,19484.76953125,5952.10009765625
2013-02-11,5897.85009765625,19460.5703125,5947.169921875
2013-02-12,5922.5,19561.0390625,5968.81982421875
2013-02-13,5932.9501953125,19608.080078125,5966.85986328125
2013-02-14,5896.9501953125,19497.1796875,5921.8701171875
2013-02-15,5887.39990234375,19468.150390625,5916.97021484375
2013-02-18,5898.2001953125,19501.080078125,5930.31005859375
2013-02-19,5939.7001953125,19635.720703125,5979.47998046875
2013-02-20,5943.0498046875,19642.75,5978.97021484375
2013-02-21,5852.25,19325.359375,5876.830078125
2013-02-22,5850.2998046875,19317.009765625,5882.43017578125
2013-02-25,5854.75,19331.689453125,5876.259765625
2013-02-26,5761.35009765625,19015.140625,5784.4599609375
2013-02-27,5796.89990234375,19152.41015625,5830.0498046875
2013-02-28,5693.0498046875,18861.5390625,5720.10009765625
2013-03-01,5719.7001953125,18918.51953125,5741.0400390625
2013-03-04,5698.5,18877.9609375,5711.419921875
2013-03-05,5784.25,19143.169921875,5799.830078125
2013-03-06,5818.60009765625,19252.609375,5838.2998046875
2013-03-07,5863.2998046875,19413.5390625,5881.740234375
2013-03-08,5945.7001953125,19683.23046875,5962.080078125
2013-03-11,5942.35009765625,19646.2109375,5955.9599609375
2013-03-12,5914.10009765625,19564.919921875,5926.22998046875
2013-03-13,5851.2001953125,19362.55078125,5858.89990234375
2013-03-14,5908.9501953125,19570.439453125,5921.02001953125
